"","Topic aus Model 1","Topic aus Model 2","Übereinstimmende Topic Wörter"
"1","1",57,3
"2","2",39,18
"3","3",32,13
"4","4",93,6
"5","5",55,27
"6","6",54,20
"7","7",56,4
"8","8",44,1
"9","9",62,47
"10","10",53,24
"11","11",41,34
"12","12",48,1
"13","13",71,32
"14","14",26,2
"15","15",76,0
"16","16",70,53
"17","17",15,46
"18","18",92,39
"19","19",63,0
"20","20",59,20
"21","21",96,26
"22","22",25,15
"23","23",14,23
"24","24",58,0
"25","25",28,17
"26","26",82,47
"27","27",79,1
"28","28",6,6
"29","29",30,48
"30","30",21,52
"31","31",8,12
"32","32",29,19
"33","33",45,37
"34","34",1,25
"35","35",87,37
"36","36",89,64
"37","37",27,32
"38","38",13,33
"39","39",42,16
"40","40",35,31
"41","41",17,22
"42","42",16,1
"43","43",23,3
"44","44",100,3
"45","45",78,42
"46","46",99,1
"47","47",91,33
"48","48",80,24
"49","49",43,14
"50","50",77,21
"51","51",85,1
"52","52",86,7
"53","53",69,2
"54","54",83,21
"55","55",68,48
"56","56",88,12
"57","57",33,23
"58","58",46,50
"59","59",47,6
"60","60",90,30
"61","61",95,80
"62","62",94,23
"63","63",67,35
"64","64",22,33
"65","65",10,33
"66","66",20,23
"67","67",40,29
"68","68",24,29
"69","69",7,1
"70","70",97,17
"71","71",11,23
"72","72",51,33
"73","73",72,5
"74","74",9,16
"75","75",19,22
"76","76",64,6
"77","77",4,30
"78","78",49,38
"79","79",73,31
"80","80",66,23
"81","81",3,4
"82","82",61,13
"83","83",34,19
"84","84",74,43
"85","85",12,1
"86","86",60,26
"87","87",5,4
"88","88",2,1
"89","89",52,18
"90","90",38,0
"91","91",31,11
"92","92",65,32
"93","93",36,21
"94","94",98,15
"95","95",50,3
"96","96",84,47
"97","97",81,23
"98","98",37,14
"99","99",18,22
"100","100",75,0
"101",NA,50.5,NA
